Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Data di registrazione
LYNUP: Quanti integratori!,Reel,✅ Pubblicato,12/06/2025,Differenziazione,
LYNUP: Giusto dosaggio giornaliero,Reel,✅ Pubblicato,05/06/2025,Consigli,
LYNUP: Quanti cicli fare all’anno,Reel,✅ Pubblicato,23/06/2025,Consigli,
"LYNUP: Sono in menopausa, cosa devo integrare?",Reel,✅ Pubblicato,24/07/2025,Domande dal blog,
"LYNUP: Sono in osteoporosi, cosa devo integrare? ",Reel,🗓️ Programmato,26/06/2025,Domande dal blog,
LYNUP: Vitamina D e calcio sono sufficienti per la salute ossea?,Reel,✅ Pubblicato,07/07/2025,Domande dal blog,
LYNUP: Che funzione hanno le vitamine e i minerali per le ossa,Reel,✅ Pubblicato,02/06/2025,Informativo,
LYNUP: Quali sono i minerali che compongono le ossa?,Reel,✅ Pubblicato,28/07/2025,Informativo,
LYNUP: Consigli muro,Reel,✅ Pubblicato,03/07/2025,Trend,
LYNUP: Capsule che cadono,Reel,✅ Pubblicato,16/06/2025,Trend,
NEOGELA: Motion lapse collagene,Reel,✅ Pubblicato,14/08/2025,Trend,
NEOGELA: cascata bustine,Reel,✅ Pubblicato,29/09/2025,Trend,
NEOGELA: box 3 prodotti,Reel,✅ Pubblicato,03/07/2025,Trend,
NEOGELA: scatola buste,Reel,✅ Pubblicato,25/08/2025,Trend,
"NEOGELA: POV bicchiere ",Reel,✅ Pubblicato,29/08/2025,Trend,
"NEOGELA: POV sono il tuo pacco Neogela ",Reel,Spostato in Notion MUVI Lab,,Trend,25/11/2025
NEOGELA: Post diretta con Farmacista,Post,✅ Pubblicato,26/06/2025,Diretta,
NEOGELA: Doc crolli vertebrali,Reel,🗓️ Programmato,20/06/2025,Informativo,
NEOGELA: Intervista cliente,Reel,✅ Pubblicato,27/06/2025,Intervista,
NEOGELA: Ti fanno male le mani?,Reel,✅ Pubblicato,01/07/2025,Consigli,
NEOGELA: Video riassunto fiera,Reel,✅ Pubblicato,03/06/2025,Differenziazione,
NEOGELA: Oggi diamo un voto al pranzo di ognuna di noi,Storia,💡 Idea,,,
NEOGELA: Video testimonianza di una cliente,Reel,💡 Idea,,,
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela”,Reel,✅ Pubblicato,16/09/2025,Differenziazione,
NEOGELA: Guida “Come inserire il collagene nella tua routine”,Reel,Spostato in Notion MUVI Lab,,Consigli,16/10/2025
NEOGELA: Va bene anche per la pelle?,Reel,🗓️ Programmato,24/11/2025,Domande dal blog,
NEOGELA: le persone amano Neogela,Reel,💡 Idea,,Trend,
NEOGELA: video intervista team,Reel,💡 Idea,,,
NEOGELA: tutto il team assume Neogela,Reel,✅ Pubblicato,,Trend,05/12/2025
NEOGELA: Il collagene fa ingrassare? Ecco cosa dicono le nostre clienti,Reel,💡 Idea,,,
"NEOGELA: consigli in caso di artrosi alle mani               ",Reel,💡 Idea,,Consigli,
NEOGELA: Come trattiamo i nostri clienti fedeli,Reel,💡 Idea,,,
NEOGELA: box domande,Storia,✅ Pubblicato,23/06/2025,,
NEOGELA: Sono in menopausa come integro il collagene nel corso dell’anno,Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: il collagene va preso insieme alla vitamina C?,Reel,✅ Pubblicato,19/09/2025,EduCollagene,
NEOGELA: perché Neogela è costoso?,Reel,Spostato in Notion MUVI Lab,,Differenziazione,29/01/2026
NEOGELA: si può curare l’osteoporosi senza farmaci?,Reel,✅ Pubblicato,17/10/2025,Informativo,
NEOGELA: il collagene si deteriora con il caldo?,Reel,🗓️ Programmato,10/07/2025,Differenziazione,
"NEOGELA: Fratture ",Video YouTube,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Osteoporosi gravidica,Video YouTube,✅ Pubblicato,03/09/2025,Informativo,
NEOGELA: Osteoporosi maschile,Video YouTube,✅ Pubblicato,05/08/2025,Informativo,
NEOGELA: Artrosi all’anca,Video YouTube,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: ricetta salutare con il collagene,Reel,💡 Idea,,,
"NEOGELA: Dolore alle ossa? Quali esami possono aiutarti ",Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Frattura spontanea? Serve una MOC!,Reel,💡 Idea,,,
NEOGELA: Dove si fa la MOC,Reel,💡 Idea,,,
NEOGELA: Chi prescrive la MOC,Reel,💡 Idea,,,
NEOGELA: Quali valori guardare nel referto della MOC,Reel,Spostato in Notion MUVI Lab,28/11/2025,Informativo,
NEOGELA: Densitometria ossea: l’esame che dovresti fare dopo una certa età,Reel,Spostato in Notion MUVI Lab,,Informativo,09/03/2026
"NEOGELA: Moc dexa, densitometria in farmacia, BesTest, Ecolight: quale scegliere",Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
NEOGELA: Hai fatto la MOC in un’altra struttura? Ecco perché devi farla sempre nello stesso posto,Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Perché non ho scoperto prima di avere l’osteoporosi?,Reel,Spostato in Notion MUVI Lab,,Domande dal blog,29/01/2026
NEOGELA: Primi sintomi dell’indebolimento osseo,Reel,✅ Pubblicato,22/08/2025,Informativo,
NEOGELA: Differenza tra osteopenia e osteoporosi,Reel,Spostato in Notion MUVI Lab,,Informativo,09/03/2026
"NEOGELA: Ho l’osteoporosi, sono ancora in tempo?",Reel,🗓️ Programmato,29/10/2025,Domande dal blog,15/09/2025
"NEOGELA: Prendo la vitamina D, come faccio ad avere l’osteoporosi?",Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Sei in cura per un tumore al seno? Fai attenzione a questa cosa,Reel,💡 Idea,,,
NEOGELA: Calcio alto nel sangue e osteoporosi,Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Di cosa sono fatte le ossa e perché si indeboliscono,Reel,Spostato in Notion MUVI Lab,,EduCollagene,25/11/2025
NEOGELA: Quante proteine al giorno mangiare in caso di osteoporosi,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: Come fa il collagene ad arrivare alle ossa?,Reel,✅ Pubblicato,03/10/2025,EduCollagene,
NEOGELA: Differenza tra collagene vegetale e animale,Reel,💡 Idea,,,09/03/2026
NEOGELA: Collagene vs glucosamina e condroitina,Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Carenza di collagene? Ecco come capirlo,Reel,Spostato in Notion MUVI Lab,,,09/03/2026
NEOGELA: Stai assumendo collagene ma non sai se sta funzionando? Ecco come capirlo,Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
NEOGELA: caso di una persona che è migliorata con il collagene,Reel,💡 Idea,,,
NEOGELA: Il collagene è davvero il rimedio miracoloso per tutti i mali?,Reel,Spostato in Notion MUVI Lab,,EduCollagene,29/08/2025
NEOGELA: Da dove viene la nostra materia prima,Reel,✅ Pubblicato,26/09/2025,Aziendale,
NEOGELA: Metalli pesanti e certificazioni,Reel,Spostato in Notion MUVI Lab,,,29/01/2026
NEOGELA: Ho letto la tabella nutrizionale ma non c’è scritto da nessuna parte collagene,Reel,✅ Pubblicato,12/09/2025,Domande dal blog,
NEOGELA: Come sapere se un collagene è sicuro,Reel,Spostato in Notion MUVI Lab,,Informativo,29/01/2026
NEOGELA: due collageni a confronto che sciolgono nell’acqua,Reel,💡 Idea,,,
NEOGELA: Perché offriamo consulenza gratuita,Reel,Spostato in Notion MUVI Lab,,Differenziazione,
NEOGELA: Come si svolgono le consulenza qui in azienda,Reel,Spostato in Notion MUVI Lab,,Differenziazione,05/12/2025
NEOGELA: 3 motivi per cui richiedere una consulenza prima di acquistare un prodotto,Reel,Spostato in Notion MUVI Lab,,Differenziazione,05/12/2025
NEOGELA: Recensione sul nostro servizio di consulenza,Reel,💡 Idea,,,
LYNUP: ricetta che comprenda i micronutrienti essenziali per le ossa,Reel,💻 Da montare,,Differenziazione,29/08/2025
LYNUP: una giornata tipo vissuta al top (con Lynup tutte le tue giornate possono essere così),Reel,💡 Idea,,Differenziazione,
LYNUP: confronto tra Lynup e altri multivitaminici (lista ingredienti una corta una lunghissima),Reel,🗓️ Programmato,10/07/2025,Differenziazione,
LYNUP: Vitamina D e Vitamina K2,Reel,💻 Da montare,,Informativo,
LYNUP: tutte le funzioni della vitamina C,Reel,🗓️ Programmato,30/10/2025,Informativo,
LYNUP: tutte le funzioni della vitamina K2,Reel,✅ Pubblicato,28/08/2025,Informativo,
LYNUP: tutte le funzioni del calcio,Reel,🗓️ Programmato,20/11/2025,Informativo,
LYNUP: tutte le funzioni del magnesio,Reel,✅ Pubblicato,31/07/2025,Informativo,
"LYNUP: tutte le funzioni del silicio ",Reel,✅ Pubblicato,25/09/2025,Informativo,
NEOGELA: I benefici del pilates (con Fisioterapista),Reel,✅ Pubblicato,23/09/2025,Informativo,
NEOGELA: 3 attività consigliate per alleviare il dolore da artrosi (con Fisioterapista),Reel,✅ Pubblicato,29/07/2025,Consigli,
NEOGELA: Perché fare rieducazione posturale può aiutare contro l’osteoporosi (con Fisioterapista),Reel,✅ Pubblicato,26/08/2025,Informativo,
NEOGELA: Come risolvere i miei problemi (PROMO),Reel,✅ Pubblicato,21/07/2025,Trend,
NEOGELA: Quanti errori farai oggi?,Reel,Spostato in Notion MUVI Lab,,Trend,
NEOGELA: Va bene,Reel,💡 Idea,,Trend,
NEOGELA: Quando ti rendi conto che…,Reel,💡 Idea,,Trend,
NEOGELA: Foglio strappato (per una PROMO),Reel,✅ Pubblicato,14/07/2025,Trend,
NEOGELA: Scatola lanciata,Reel,💡 Idea,,Trend,
NEOGELA: Scegli uno dei biglietti,Reel,Spostato in Notion MUVI Lab,,Trend,29/01/2026
LYNUP: gorilla che lancia acqua,Reel,🗓️ Programmato,22/12/2025,Trend,16/10/2025
NEOGELA: meet the team,Reel,✅ Pubblicato,05/09/2025,Trend,
LYNUP: moto che cade,Reel,💡 Idea,,Trend,
LYNUP: blow on your screen,Reel,✅ Pubblicato,23/07/2025,Trend,
NEOGELA: cofano macchina,Reel,💡 Idea,,Trend,
LYNUP: carillon (per PROMO),Reel,✅ Pubblicato,16/07/2025,Trend,
NEOGELA: Where is the team,Reel,💡 Idea,,Trend,
LYNUP: 3 cose che ti faranno innamorare di Lynup,Reel,🗓️ Programmato,04/08/2025,Differenziazione,
LYNUP: kit di salute per l’estate,Reel,✅ Pubblicato,21/07/2025,Differenziazione,
NEOGELA: 3 consigli di integrazione di collagene per la tua estate,Reel,✅ Pubblicato,25/07/2025,Consigli,
NEOGELA: giornata internazionale del bacio - qualcuno bacia Neogela,Storia,🏝️ Grafica da preparare,06/07/2025,,
"NEOGELA: carosello dosaggio collagene ",Carosello,🗓️ Programmato,11/07/2025,Differenziazione,
NEOGELA: PROMO,Storia,✅ Pubblicato,16/07/2025,,
NEOGELA: PROMO,Storia,✅ Pubblicato,15/07/2025,,
LYNUP: domani parte la promo estiva,Storia,✅ Pubblicato,15/07/2025,,
LYNUP: Scarica contenuto informativo / Fai questo quiz (per Lead Generation Pre Promo estiva),Reel,✅ Pubblicato,,ADS,
"LYNUP: vitamina D per salvare le ossa in menopausa, è sufficiente?",Reel,✅ Pubblicato,21/08/2025,Informativo,
LYNUP: se non vedi il numero,Reel,✅ Pubblicato,25/08/2025,Trend,
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela” - cerchiamo candidati,Reel,Spostato in Notion MUVI Lab,,ADS,
NEOGELA: Quanto conta la composizione aminoacidica,Reel,Spostato in Notion MUVI Lab,,Differenziazione,
LYNUP: sono scarica e poi prendo Lynup e il mondo diventa a colori,Reel,✅ Pubblicato,18/08/2025,Trend,
LYNUP: 3 abitudini per prevenire l’osteoporosi,Reel,✅ Pubblicato,18/09/2025,Consigli,
NEOGELA: bambino che piange e non riesce a spiegare,Reel,💡 Idea,,Trend,
"NEOGELA: recensione ",Storia,✅ Pubblicato,25/06/2025,,
NEOGELA: avviso diretta,Storia,✅ Pubblicato,03/07/2025,,
NEOGELA: avviso diretta,Storia,✅ Pubblicato,30/06/2025,,
NEOGELA: avviso diretta (1),Storia,✅ Pubblicato,02/07/2025,,
LYNUP: gioco del tris,Reel,✅ Pubblicato,30/07/2025,Trend,
LYNUP: messaggio nel sacchetto,Reel,🗓️ Programmato,06/08/2025,Trend,
LYNUP: prendi le capsule (da pubblicare a mano con adesivo),Reel,✅ Pubblicato,09/07/2025,Trend,
NEOGELA: premi per comporre la scatola più velocemente,Reel,✅ Pubblicato,07/07/2025,Trend,
"NEOGELA: in     ",Carosello,✅ Pubblicato,11/08/2025,Consigli,
LYNUP: scorri per riempire la capsula di tutti i nutrienti essenziali per le tue ossa,Carosello,🗓️ Programmato,11/08/2025,Differenziazione,
"NEOGELA: Intervista partecipante progetto ",Reel,💡 Idea,,Intervista,
NEOGELA: intervista cliente Neogela,Reel,💡 Idea,,Intervista,
"NEOGELA: 4 prodotti Neogela ",Reel,🗓️ Programmato,10/11/2025,Trend,
NEOGELA: 0 problemi,Reel,Spostato in Notion MUVI Lab,,Trend,05/12/2025
LYNUP: metti le dita qui,Reel,💡 Idea,,Trend,17/11/2025
NEOGELA: la coppia perfetta,Reel,🗓️ Programmato,22/10/2025,Trend,15/09/2025
NEOGELA: prepariamo i pacchi,Reel,✅ Pubblicato,15/09/2025,Trend,
LYNUP: buco nel foglio (collegato a promo),Reel,✅ Pubblicato,08/10/2025,Trend,15/09/2025
LYNUP: emoticon,Reel,✅ Pubblicato,08/09/2025,Trend,
LYNUP: jackpot,Reel,💡 Idea,,Trend,
LYNUP: barattolo stappato,Reel,💡 Idea,,Trend,
"LYNUP: la tua giornata per ossa forti ",Reel,💡 Idea,,Consigli,
LYNUP: 5 falsi miti sulla salute ossea,Reel,✅ Pubblicato,11/09/2025,Falso mito,
LYNUP: falso mito sul calcio,Reel,🗓️ Programmato,19/12/2025,Falso mito,
LYNUP: falso mito sulla vitamina D,Reel,🗓️ Programmato,23/10/2025,Falso mito,
LYNUP: i sintomi più comuni della menopausa,Reel,💻 Da montare,,Informativo,
LYNUP: come posso accorgermi di avere l’osteoporosi?,Reel,✅ Pubblicato,09/10/2025,Domande dal blog,29/08/2025
LYNUP: chi sono i soggetti a rischio fragilità ossea?,Reel,✅ Pubblicato,14/08/2025,Informativo,
LYNUP: il ciclo di vita delle ossa,Reel,✅ Pubblicato,04/09/2025,Informativo,
LYNUP: dove posso trovare il vostro prodotto,Reel,💻 Da montare,,Domande dal blog,29/08/2025
LYNUP: domanda sul prodotto,Reel,✅ Pubblicato,29/09/2025,Trend,15/09/2025
LYNUP: piramide di blocchi,Reel,💡 Idea,,Trend,
LYNUP: chi siamo?,Storia,✅ Pubblicato,14/07/2025,,
"Lynup: Il nostro prodotto ",Storia,✅ Pubblicato,20/08/2025,,
LYNUP : recensioni,Storia,✅ Pubblicato,29/07/2025,,
LYNUP : Domande frequeni,Storia,✅ Pubblicato,13/08/2025,,
LYNUP: barattolo con caratteristiche e ingredienti,Reel,✅ Pubblicato,19/08/2025,Trend,
"LYNUP: secondo falso mito sulla vitamina D ",Reel,💻 Da montare,,Falso mito,16/10/2025
NEOGELA: CHI SIAMO,Storia,✅ Pubblicato,28/07/2025,,
NEOGELA: I NOSTRI PRODOTTI,Storia,✅ Pubblicato,04/08/2025,,
NEOGELA: DOMANDE FREQUENTI,Storia,✅ Pubblicato,20/08/2025,,
NEOGELA: CONSULENZA,Storia,✅ Pubblicato,27/08/2025,,
NEOGELA: RECENSIONI,Storia,✅ Pubblicato,13/08/2025,,
LYNUP:  Lynup può aiutarti se,Carosello,✅ Pubblicato,15/09/2025,Differenziazione,
NEOGELA: Reel 1 da video YouTube Osteoporosi Maschile,Reel,✅ Pubblicato,05/08/2025,Informativo,
NEOGELA: Reel 2 da video YouTube Osteoporosi Maschile,Reel,Spostato in Notion MUVI Lab,,Informativo,
LYNUP: quali vitamine e minerali servono alle ossa?,Reel,✅ Pubblicato,13/10/2025,Trend,15/09/2025
LYNUP: ruota della fortuna,Reel,💡 Idea,,Trend,
LYNUP: telecomando,Reel,✅ Pubblicato,01/09/2025,Trend,
"LYNUP: lunedì, martedì, mercoledì",Reel,✅ Pubblicato,22/09/2025,Trend,
"LYNUP: 5 note telefono ",Reel,🗓️ Programmato,27/10/2025,Trend,
LYNUP: crucipuzzle,Reel,🗓️ Programmato,17/11/2025,Trend,
LYNUP: Bottiglietta,Reel,💡 Idea,,Trend,
Messaggio magico,Reel,💡 Idea,,Trend,
LYNUP: Scompare in ufficio - Promo Black Friday,Reel,🗓️ Programmato,28/11/2025,Trend,16/10/2025
LYNUP: errori alimentari più comuni in menopausa,Reel,✅ Pubblicato,02/10/2025,Intervista,29/08/2025
LYNUP: come ridurre l’infiammazione in menopausa,Reel,🗓️ Programmato,13/11/2025,Consigli,29/08/2025
LYNUP: esempio di pasto bilanciato e salutare per le ossa,Reel,✅ Pubblicato,16/10/2025,Consigli,29/08/2025
LYNUP: quanto calcio assumere ogni giorno e da quali fonti,Reel,🗓️ Programmato,09/12/2025,Informativo,29/08/2025
LYNUP: 5 consigli alimentari per la menopausa,Reel,💻 Da montare,,Consigli,29/08/2025
NEOGELA: il ruolo del cortisolo sulla salute ossea e alimenti che aiutano a regolare i suoi livelli,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: che differenza c’è tra il collagene e le comuni proteine che assumiamo con la dieta,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: latticini in osteoporosi: sì o no?,Reel,✅ Pubblicato,19/11/2025,Domande dal blog,29/08/2025
NEOGELA: il ruolo del nutrizionista nella gestione dell’osteoporosi,Reel,✅ Pubblicato,06/10/2025,Informativo,29/08/2025
NEOGELA: errori alimentari che possono portare all’osteoporosi,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
NEOGELA: 5 abitudini alimentari sì o no,Reel,Spostato in Notion MUVI Lab,,Informativo,29/08/2025
LYNUP: video sensibilizzazione osteoporosi (da pubblicare ad Ottobre per la Giornata Mondiale dell’Osteoporosi),Reel,🗓️ Programmato,20/10/2025,Informativo,15/09/2025
NEOGELA: bustina che appare dallo schermo,Reel,💡 Idea,,Trend,
NEOGELA: vediamo dove ci porta il vento,Reel,💡 Idea,,Trend,
