Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Soggetto
LYNUP: Quali sono i minerali che compongono le ossa?,Reel,✅ Pubblicato,28/07/2025,Informativo,Giulia
LYNUP: Consigli muro,Reel,✅ Pubblicato,03/07/2025,Trend,Erica
LYNUP: Capsule che cadono,Reel,✅ Pubblicato,16/06/2025,Trend,
NEOGELA: Motion lapse collagene,Reel,✅ Pubblicato,14/08/2025,Trend,
NEOGELA: cascata bustine,Reel,✅ Pubblicato,29/09/2025,Trend,
NEOGELA: box 3 prodotti,Reel,✅ Pubblicato,03/07/2025,Trend,
NEOGELA: scatola buste,Reel,✅ Pubblicato,25/08/2025,Trend,
"NEOGELA: POV bicchiere ",Reel,✅ Pubblicato,29/08/2025,Trend,
"NEOGELA: POV sono il tuo pacco Neogela ",Reel,💡 Idea,,Trend,Team
NEOGELA: Post diretta con Farmacista,Post,✅ Pubblicato,26/06/2025,Diretta,
NEOGELA: Doc crolli vertebrali,Reel,🗓️ Programmato,20/06/2025,Informativo,Dottore
NEOGELA: Intervista cliente,Reel,✅ Pubblicato,27/06/2025,Intervista,Cliente
NEOGELA: Ti fanno male le mani?,Reel,✅ Pubblicato,01/07/2025,Consigli,"Dottore, Giulia"
NEOGELA: Video riassunto fiera,Reel,✅ Pubblicato,03/06/2025,Differenziazione,Team
NEOGELA: Oggi diamo un voto al pranzo di ognuna di noi,Storia,💡 Idea,,,
NEOGELA: Video testimonianza di una cliente,Reel,💡 Idea,,,
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela”,Reel,✅ Pubblicato,16/09/2025,Differenziazione,Giulia
NEOGELA: Guida “Come inserire il collagene nella tua routine”,Reel,💻 Da montare,,Consigli,Giulia
NEOGELA: Va bene anche per la pelle?,Reel,💻 Da montare,24/11/2025,Domande dal blog,Giulia
NEOGELA: le persone amano Neogela,Reel,💡 Idea,,Trend,
NEOGELA: video intervista team,Reel,💡 Idea,,,
NEOGELA: tutto il team assume Neogela,Reel,💡 Idea,,Trend,
NEOGELA: Il collagene fa ingrassare? Ecco cosa dicono le nostre clienti,Reel,💡 Idea,,,
NEOGELA: consigli in caso di artrosi alle mani,Reel,💡 Idea,,,
NEOGELA: Come trattiamo i nostri clienti fedeli,Reel,💡 Idea,,,
NEOGELA: box domande,Storia,✅ Pubblicato,23/06/2025,,
NEOGELA: Ho la menopausa come integro il collagene nel corso dell’anno,Reel,💡 Idea,,,
NEOGELA: il collagene va preso insieme alla vitamina C?,Reel,✅ Pubblicato,19/09/2025,EduCollagene,Dottore
NEOGELA: perché Neogela è costoso?,Reel,💡 Idea,,,
NEOGELA: si può curare l’osteoporosi senza farmaci?,Reel,✅ Pubblicato,17/10/2025,Informativo,Dottore
NEOGELA: il collagene si deteriora con il caldo?,Reel,🗓️ Programmato,10/07/2025,Differenziazione,Giulia
"NEOGELA: Fratture ",Video YouTube,💻 Da montare,,Informativo,Dottore
NEOGELA: Osteoporosi gravidica,Video YouTube,✅ Pubblicato,03/09/2025,Informativo,Dottore
NEOGELA: Osteoporosi maschile,Video YouTube,✅ Pubblicato,05/08/2025,Informativo,Dottore
NEOGELA: Artrosi all’anca,Video YouTube,💻 Da montare,,Informativo,Dottore
NEOGELA: Studi clinici sul collagene + invito a vedere i casi raccolti,Video YouTube,💻 Da montare,,EduCollagene,Dottore
NEOGELA: Spieghiamo il collagene e i suoi benefici,Video YouTube,💻 Da montare,,EduCollagene,Dottore
NEOGELA: ricetta salutare con il collagene,Reel,💡 Idea,,,
NEOGELA: Dolore alle ossa? Quali esami possono aiutarti,Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: Frattura spontanea? Serve una MOC!,Reel,💡 Idea,,,
NEOGELA: Dove si fa la MOC,Reel,💡 Idea,,,
NEOGELA: Chi prescrive la MOC,Reel,💡 Idea,,,
NEOGELA: Quali valori guardare nel referto della MOC,Reel,💻 Da montare,28/11/2025,Informativo,Dottore
NEOGELA: Densitometria ossea: l’esame che dovresti fare dopo una certa età,Reel,💡 Idea,,,
"NEOGELA: Moc dexa, densitometria in farmacia, BesTest, Ecolight: quale scegliere",Reel,💡 Idea,,,
NEOGELA: Hai fatto la MOC in un’altra struttura? Ecco perché devi farla sempre nello stesso posto,Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: Recupero post infortunio (con Personal Trainer),Reel,✅ Pubblicato,12/08/2025,Informativo,Mattia Casonato - Personal Trainer
NEOGELA: Recupero funzionale (con Personal Trainer),Reel,✅ Pubblicato,09/09/2025,Informativo,Mattia Casonato - Personal Trainer
NEOGELA: Dolori articolari (con Personal Trainer),Reel,✅ Pubblicato,08/07/2025,Consigli,Mattia Casonato - Personal Trainer
NEOGELA: Perché non ho scoperto prima di avere l’osteoporosi?,Reel,💡 Idea,,,
NEOGELA: Primi sintomi dell’indebolimento osseo,Reel,✅ Pubblicato,22/08/2025,Informativo,Dottore
NEOGELA: Differenza tra osteopenia e osteoporosi,Reel,💡 Idea,,,
"NEOGELA: Ho l’osteoporosi, sono ancora in tempo?",Reel,🗓️ Programmato,29/10/2025,Domande dal blog,Giulia
"NEOGELA: Prendo la vitamina D, come faccio ad avere l’osteoporosi?",Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: Sei in cura per un tumore al seno? Fai attenzione a questa cosa,Reel,💡 Idea,,,
NEOGELA: Calcio alto nel sangue e osteoporosi,Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: Di cosa sono fatte le ossa e perché si indeboliscono,Reel,💡 Idea,,,
NEOGELA: Quante proteine al giorno mangiare in caso di osteoporosi,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: Come fa il collagene ad arrivare alle ossa?,Reel,✅ Pubblicato,03/10/2025,EduCollagene,Dottore
NEOGELA: Differenza tra collagene vegetale e animale,Reel,💡 Idea,,,
NEOGELA: Collagene vs glucosamina e condroitina,Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: Carenza di collagene? Ecco come capirlo,Reel,💡 Idea,,,
NEOGELA: Stai assumendo collagene ma non sai se sta funzionando? Ecco come capirlo,Reel,🎥 Da registrare,,Consigli,Dottore
NEOGELA: caso di una persona che è migliorata con il collagene,Reel,💡 Idea,,,
NEOGELA: Il collagene è davvero il rimedio miracoloso per tutti i mali?,Reel,💻 Da montare,,EduCollagene,Giulia
NEOGELA: Da dove viene la nostra materia prima,Reel,✅ Pubblicato,26/09/2025,Aziendale,Giulia
NEOGELA: Metalli pesanti e certificazioni,Reel,💡 Idea,,,
NEOGELA: Ho letto la tabella nutrizionale ma non c’è scritto da nessuna parte collagene,Reel,✅ Pubblicato,12/09/2025,Domande dal blog,Giulia
NEOGELA: Come sapere se un collagene è sicuro,Reel,💡 Idea,,,
NEOGELA: due collageni a confronto che sciolgono nell’acqua,Reel,💡 Idea,,,
NEOGELA: Perché offriamo consulenza gratuita,Reel,💡 Idea,,,
NEOGELA: Come si svolgono le consulenza qui in azienda,Reel,💡 Idea,,,
NEOGELA: 3 motivi per cui richiedere una consulenza prima di acquistare un prodotto,Reel,💡 Idea,,,
NEOGELA: Recensione sul nostro servizio di consulenza,Reel,💡 Idea,,,
LYNUP: ricetta che comprenda i micronutrienti essenziali per le ossa,Reel,💻 Da montare,,Differenziazione,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: una giornata tipo vissuta al top (con Lynup tutte le tue giornate possono essere così),Reel,💡 Idea,,Differenziazione,
LYNUP: confronto tra Lynup e altri multivitaminici (lista ingredienti una corta una lunghissima),Reel,🗓️ Programmato,10/07/2025,Differenziazione,Giulia
LYNUP: Vitamina D e Vitamina K2,Reel,💻 Da montare,,Informativo,Giulia
LYNUP: 3/4 specialisti che dicono consiglio Lynup perchè,Reel,🎥 Da registrare,,,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: tutte le funzioni della vitamina C,Reel,🗓️ Programmato,30/10/2025,Informativo,Giulia
LYNUP: tutte le funzioni della vitamina K2,Reel,✅ Pubblicato,28/08/2025,Informativo,Giulia
LYNUP: tutte le funzioni del calcio,Reel,💻 Da montare,20/11/2025,Informativo,Giulia
LYNUP: tutte le funzioni del magnesio,Reel,✅ Pubblicato,31/07/2025,Informativo,Giulia
"LYNUP: tutte le funzioni del silicio ",Reel,✅ Pubblicato,25/09/2025,Informativo,
NEOGELA: I benefici del pilates (con Fisioterapista),Reel,✅ Pubblicato,23/09/2025,Informativo,Dott.ssa Pales - Fisioterapista
NEOGELA: 3 attività consigliate per alleviare il dolore da artrosi (con Fisioterapista),Reel,✅ Pubblicato,29/07/2025,Consigli,Dott.ssa Pales - Fisioterapista
NEOGELA: Perché fare rieducazione posturale può aiutare contro l’osteoporosi (con Fisioterapista),Reel,✅ Pubblicato,26/08/2025,Informativo,Dott.ssa Pales - Fisioterapista
NEOGELA: Come risolvere i miei problemi (PROMO),Reel,✅ Pubblicato,21/07/2025,Trend,
NEOGELA: Quanti errori farai oggi?,Reel,💻 Da montare,,Trend,
NEOGELA: Preparazione di un pacco,Reel,💡 Idea,,Trend,
NEOGELA: Va bene,Reel,💡 Idea,,Trend,
NEOGELA: Quando ti rendi conto che…,Reel,💡 Idea,,Trend,
NEOGELA: Foglio strappato (per una PROMO),Reel,✅ Pubblicato,14/07/2025,Trend,
NEOGELA: Scatola lanciata,Reel,💡 Idea,,Trend,
NEOGELA: Scegli uno dei biglietti,Reel,💡 Idea,,Trend,
LYNUP: gorilla che lancia acqua,Reel,💻 Da montare,,Trend,
NEOGELA: meet the team,Reel,✅ Pubblicato,05/09/2025,Trend,
LYNUP: moto che cade,Reel,💡 Idea,,Trend,
LYNUP: blow on your screen,Reel,✅ Pubblicato,23/07/2025,Trend,Erica
NEOGELA: cofano macchina,Reel,💡 Idea,,Trend,
LYNUP: carillon (per PROMO),Reel,✅ Pubblicato,16/07/2025,Trend,
NEOGELA: Where is the team,Reel,💡 Idea,,Trend,
LYNUP: 3 cose che ti faranno innamorare di Lynup,Reel,🗓️ Programmato,04/08/2025,Differenziazione,Giulia
LYNUP: kit di salute per l’estate,Reel,✅ Pubblicato,21/07/2025,Differenziazione,Giulia
NEOGELA: 3 consigli di integrazione di collagene per la tua estate,Reel,✅ Pubblicato,25/07/2025,Consigli,Giulia
NEOGELA: giornata internazionale del bacio - qualcuno bacia Neogela,Storia,🏝️ Grafica da preparare,06/07/2025,,
"NEOGELA: carosello dosaggio collagene ",Carosello,🗓️ Programmato,11/07/2025,Differenziazione,
NEOGELA: PROMO,Storia,✅ Pubblicato,16/07/2025,,
NEOGELA: PROMO,Storia,✅ Pubblicato,15/07/2025,,
LYNUP: domani parte la promo estiva,Storia,✅ Pubblicato,15/07/2025,,
LYNUP: Scarica contenuto informativo / Fai questo quiz (per Lead Generation Pre Promo estiva),Reel,✅ Pubblicato,,ADS,Giulia
"LYNUP: vitamina D per salvare le ossa in menopausa, è sufficiente?",Reel,✅ Pubblicato,21/08/2025,Informativo,Giulia
LYNUP: se non vedi il numero,Reel,✅ Pubblicato,25/08/2025,Trend,
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela” - cerchiamo candidati,Reel,💻 Da montare,,ADS,Giulia
NEOGELA: Quanto conta la composizione aminoacidica,Reel,💻 Da montare,,Differenziazione,Giulia
LYNUP: sono scarica e poi prendo Lynup e il mondo diventa a colori,Reel,✅ Pubblicato,18/08/2025,Trend,
LYNUP: 3 abitudini per prevenire l’osteoporosi,Reel,✅ Pubblicato,18/09/2025,Consigli,Giulia
NEOGELA: bambino che piange e non riesce a spiegare,Reel,💡 Idea,,Trend,
"NEOGELA: recensione ",Storia,✅ Pubblicato,25/06/2025,,
NEOGELA: avviso diretta,Storia,✅ Pubblicato,03/07/2025,,
NEOGELA: avviso diretta,Storia,✅ Pubblicato,30/06/2025,,
NEOGELA: avviso diretta (1),Storia,✅ Pubblicato,02/07/2025,,
LYNUP: gioco del tris,Reel,✅ Pubblicato,30/07/2025,Trend,
LYNUP: messaggio nel sacchetto,Reel,🗓️ Programmato,06/08/2025,Trend,
LYNUP: prendi le capsule (da pubblicare a mano con adesivo),Reel,✅ Pubblicato,09/07/2025,Trend,
NEOGELA: premi per comporre la scatola più velocemente,Reel,✅ Pubblicato,07/07/2025,Trend,
"NEOGELA: in     ",Carosello,✅ Pubblicato,11/08/2025,Consigli,
LYNUP: scorri per riempire la capsula di tutti i nutrienti essenziali per le tue ossa,Carosello,🗓️ Programmato,11/08/2025,Differenziazione,
"NEOGELA: Intervista partecipante progetto ",Reel,💡 Idea,,Intervista,Michela Bon cliente
NEOGELA: intervista cliente Neogela,Reel,💡 Idea,,Intervista,Michela Bon cliente
"NEOGELA: 4 prodotti Neogela ",,💻 Da montare,10/11/2025,Trend,
NEOGELA: 0 problemi,Reel,💡 Idea,,Trend,
LYNUP: metti le dita qui,Reel,💡 Idea,,Trend,
NEOGELA: la coppia perfetta,Reel,🗓️ Programmato,22/10/2025,Trend,
NEOGELA: prepariamo i pacchi,Reel,✅ Pubblicato,15/09/2025,Trend,
LYNUP: Justin Bieber,Reel,💡 Idea,,Trend,
LYNUP: buco nel foglio (collegato a promo),Reel,✅ Pubblicato,08/10/2025,Trend,
LYNUP: emoticon,Reel,✅ Pubblicato,08/09/2025,Trend,
LYNUP: jackpot,Reel,💡 Idea,,Trend,
LYNUP: barattolo stappato,Reel,💡 Idea,,Trend,
"LYNUP: la tua giornata per ossa forti ",Reel,💡 Idea,,Consigli,
LYNUP: 5 falsi miti sulla salute ossea,Reel,✅ Pubblicato,11/09/2025,Falso mito,
LYNUP: falso mito sul calcio,Reel,💻 Da montare,,Falso mito,Giulia
LYNUP: falso mito sulla vitamina D,Reel,🗓️ Programmato,23/10/2025,Falso mito,Giulia
LYNUP: i sintomi più comuni della menopausa,Reel,💻 Da montare,,Informativo,Giulia
LYNUP: come posso accorgermi di avere l’osteoporosi?,Reel,✅ Pubblicato,09/10/2025,Domande dal blog,Giulia
LYNUP: chi sono i soggetti a rischio fragilità ossea?,Reel,✅ Pubblicato,14/08/2025,Informativo,Giulia
LYNUP: il ciclo di vita delle ossa,Reel,✅ Pubblicato,04/09/2025,Informativo,Giulia
LYNUP: dove posso trovare il vostro prodotto,Reel,💻 Da montare,,Domande dal blog,Giulia
LYNUP: domanda sul prodotto,Reel,✅ Pubblicato,29/09/2025,Trend,
LYNUP: piramide di blocchi,Reel,💡 Idea,,Trend,
LYNUP: chi siamo?,Storia,✅ Pubblicato,14/07/2025,,
"Lynup: Il nostro prodotto ",Storia,✅ Pubblicato,20/08/2025,,
LYNUP : recensioni,Storia,✅ Pubblicato,29/07/2025,,
LYNUP : Domande frequeni,Storia,✅ Pubblicato,13/08/2025,,
LYNUP: barattolo con caratteristiche e ingredienti,Reel,✅ Pubblicato,19/08/2025,Trend,
"LYNUP: secondo falso mito sulla vitamina D ",Reel,💻 Da montare,,Falso mito,Giulia
NEOGELA: CHI SIAMO,Storia,✅ Pubblicato,28/07/2025,,
NEOGELA: I NOSTRI PRODOTTI,Storia,✅ Pubblicato,04/08/2025,,
NEOGELA: DOMANDE FREQUENTI,Storia,✅ Pubblicato,20/08/2025,,
NEOGELA: CONSULENZA,Storia,✅ Pubblicato,27/08/2025,,
NEOGELA: RECENSIONI,Storia,✅ Pubblicato,13/08/2025,,
LYNUP:  Lynup può aiutarti se,Carosello,✅ Pubblicato,15/09/2025,Differenziazione,
NEOGELA: Reel 1 da video YouTube Osteoporosi Maschile,Reel,✅ Pubblicato,05/08/2025,Informativo,
NEOGELA: Reel 2 da video YouTube Osteoporosi Maschile,Reel,💻 Da montare,,Informativo,Dottore
LYNUP: quali vitamine e minerali servono alle ossa?,Reel,✅ Pubblicato,13/10/2025,Trend,
LYNUP: ruota della fortuna,Reel,💡 Idea,,Trend,
LYNUP: telecomando,Reel,✅ Pubblicato,01/09/2025,Trend,
"LYNUP: lunedì, martedì, mercoledì",Reel,✅ Pubblicato,22/09/2025,Trend,
"LYNUP: 5 note telefono ",Reel,🗓️ Programmato,27/10/2025,Trend,
LYNUP: crucipuzzle,Reel,💻 Da montare,17/11/2025,Trend,
LYNUP: Bottiglietta,Reel,💡 Idea,,Trend,
Messaggio magico,Reel,💡 Idea,,Trend,
LYNUP: Scompare in ufficio - Promo Black Friday,Reel,💻 Da montare,28/11/2025,Trend,
LYNUP: errori alimentari più comuni in menopausa,Reel,✅ Pubblicato,02/10/2025,Intervista,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: come ridurre l’infiammazione in menopausa,Reel,💻 Da montare,13/11/2025,Consigli,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: esempio di pasto bilanciato e salutare per le ossa,Reel,✅ Pubblicato,16/10/2025,Consigli,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: quanto calcio assumere ogni giorno e da quali fonti,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: 5 consigli alimentari per la menopausa,Reel,💻 Da montare,,Consigli,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: il ruolo del cortisolo sulla salute ossea e alimenti che aiutano a regolare i suoi livelli,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: che differenza c’è tra il collagene e le comuni proteine che assumiamo con la dieta,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: latticini in osteoporosi: sì o no?,Reel,💻 Da montare,19/11/2025,Domande dal blog,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: il ruolo del nutrizionista nella gestione dell’osteoporosi,Reel,✅ Pubblicato,06/10/2025,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: errori alimentari che possono portare all’osteoporosi,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: 5 abitudini alimentari sì o no,Reel,💻 Da montare,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
LYNUP: video sensibilizzazione osteoporosi (da pubblicare ad Ottobre per la Giornata Mondiale dell’Osteoporosi),Reel,🗓️ Programmato,20/10/2025,Informativo,Giulia
NEOGELA: bustina che appare dallo schermo,Reel,💡 Idea,,Trend,
NEOGELA: vediamo dove ci porta il vento,Reel,💡 Idea,,Trend,
"NEOGELA: monday, tuesday, wednesday… ogni giorno con una bevanda diversa",Reel,💻 Da montare,03/11/2025,Trend,
NEOGELA: preparo un cappuccino,Reel,💡 Idea,,Trend,
NEOGELA: polvere dal telefono,Reel,💡 Idea,,Trend,
NEOGELA: doppia intervista Giulia e Dottore - come sono arrivati ad occuparsi di osteoporosi,Reel,🗓️ Programmato,20/10/2025,Aziendale,"Dottore, Giulia"
LYNUP: va assunto a cicli?,Reel,✅ Pubblicato,06/10/2025,Domande dal blog,Giulia
LYNUP: la quantità di ingredienti in una capsula è sufficiente?,Reel,💻 Da montare,,Domande dal blog,Giulia
"LYNUP: seguo una terapia farmacologica per osteoporosi, posso prendere Lynup?",Reel,💡 Idea,,Domande dal blog,
LYNUP: perché in menopausa si hanno dolori articolari,Reel,💡 Idea,,Informativo,
"LYNUP: dolori articolari, quando preoccuparsi?",Reel,💻 Da montare,24/11/2025,Informativo,Giulia
LYNUP: come ridurre il dolore articolare tipico della menopausa,Reel,💻 Da montare,,Consigli,Giulia
LYNUP: quanto magnesio assumere in menopausa,Reel,💻 Da montare,03/11/2025,Domande dal blog,Giulia
LYNUP: da dove derivano gli ingredienti di Lynup,Reel,💡 Idea,,Differenziazione,
LYNUP: assumo già collagene e vitamina D: posso prendere Lynup?,Reel,💻 Da montare,,Domande dal blog,Giulia
NEOGELA: quanto dura 1 barattolo di Neogela?,Reel,💡 Idea,,,
NEOGELA: Che acqua bere in caso di osteoporosi? (IN COLLAB),Reel,💡 Idea,,Consigli,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: Colazione super per le tue ossa (IN COLLAB),Reel,💡 Idea,,Consigli,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: Cosa possono fare 5g di collagene al giorno assunti a partire dai 30 anni?,Reel,💻 Da montare,,Informativo,Giulia
NEOGELA: Come comportarsi a 20 anni per ossa forti in futuro (e tu fai queste cose),Reel,💻 Da montare,,Consigli,Giulia
NEOGELA: Rischi di una dieta principalmente a base di carboidrati (IN COLLAB),Reel,💡 Idea,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
"NEOGELA: Come avere ossa giovani a 50 anni ",Reel,💻 Da montare,,Consigli,Giulia
NEOGELA: Attività fisica ottimale dopo i 50 (IN COLLAB),Reel,💡 Idea,,Consigli,Dott.ssa Pales - Fisioterapista
"NEOGELA: Errori più comuni di chi soffre di osteoporosi ",Reel,💡 Idea,,Informativo,
NEOGELA: 3 buone abitudini quotidiane per chi soffre di osteoporosi (e tu fai queste cose),Reel,✅ Pubblicato,13/10/2025,Consigli,Giulia
NEOGELA: 3 buone abitudini quotidiane per chi soffre di artrosi (e tu fai queste cose),Reel,💻 Da montare,12/11/2025,Consigli,Giulia
NEOGELA: 3 cattive abitudini per la tua colonna vertebrale (IN COLLAB),Reel,💡 Idea,,Informativo,Dott.ssa Pales - Fisioterapista
NEOGELA: Ecco come ho mantenuto stabili i miei valori di densità ossea negli ultimi 3 anni (CI VORREBBE ATTRICE),Reel,💡 Idea,,Consigli,
NEOGELA: Lo sapevi che…  a 25 anni circa raggiungi il tuo picco di massa ossea,Reel,💡 Idea,,Informativo,
NEOGELA: Lo sapevi che… gli spinaci sono ottimi per le tue ossa,Reel,💡 Idea,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
NEOGELA: Perché le proteine sono così importanti per le ossa (IN COLLAB),Reel,💡 Idea,,Informativo,Dott.ssa Silvana Magi - Nutrizionista
"NEOGELA: 3 attività che potresti tornare a fare grazie all’integrazione di collagene ",Reel,💻 Da montare,,Informativo,Giulia
NEOGELA: Reel 1 da video Youtube “Osteoporosi gravidica”,Reel,✅ Pubblicato,03/09/2025,Informativo,Dottore
"NEOGELA: Reel 2 da video Youtube “Osteoporosi gravidica” ",Reel,💻 Da montare,,Informativo,Dottore
NEOGELA: dame un grrr,Reel,✅ Pubblicato,22/09/2025,Trend,Giulia
NEOGELA: recensione partecipante in presenza Area Test (Marisa),Reel,✅ Pubblicato,09/10/2025,Differenziazione,Cliente
NEOGELA: carosello “Come agisce il collagene,Carosello,✅ Pubblicato,14/10/2025,,
NEOGELA: carosello “Come sono formate le ossa”,Carosello,✅ Pubblicato,08/10/2025,,
NEOGELA: storia donna con osteoporosi (Mascia),Reel,🗓️ Programmato,23/10/2025,Differenziazione,Cliente
NEOGELA: contenuto per Halloween,Reel,🗓️ Programmato,31/10/2025,Differenziazione,
LYNUP: Osteoporosi vuol dire,Carosello,✅ Pubblicato,14/10/2025,,
LYNUP: Osteoporosi vuol dire,Carosello,🗓️ Programmato,21/10/2025,,
LYNUP: contenuto per Halloween,Reel,🗓️ Programmato,31/10/2025,Differenziazione,
NEOGELA: Episodio 1 - Iniziativa sociale - Annuncio progetto e prime sensazioni,Reel,💻 Da montare,05/11/2025,Differenziazione,Michela Bon cliente
NEOGELA: Episodio 2 - Iniziativa sociale - Esami pre percorso effettuati,Reel,💻 Da montare,17/11/2025,Differenziazione,Michela Bon cliente
